date,PM2.5
2015/08/26,35
2015/08/27,19
2015/08/28,10
2015/08/29,17
2015/08/30,4
2015/08/31,9
2015/09/01,12
2015/09/02,18
2015/09/03,24
2015/09/04,17
2015/09/05,13
2015/09/06,16
2015/09/07,13
2015/09/08,17
2015/09/09,13
2015/09/10,6
2015/09/11,12
2015/09/12,8
2015/09/13,22
2015/09/14,7
2015/09/15,24
2015/09/16,6
2015/09/17,21
2015/09/18,25
2015/09/19,29
2015/09/20,39
2015/09/21,35
2015/09/22,25
2015/09/23,27
2015/09/24,16
2015/09/25,14
2015/09/26,20
2015/09/27,10
2015/09/28,0
2015/09/29,14
2015/10/01,24
2015/10/02,24
2015/10/03,26
2015/10/04,8
2015/10/05,11
2015/10/06,5
2015/10/07,7
2015/10/08,16
2015/10/09,1
2015/10/10,19
2015/10/11,38
2015/10/12,24
2015/10/13,27
2015/10/14,9
2015/10/15,10
2015/10/16,19
2015/10/17,11
2015/10/18,10
2015/10/19,1
2015/10/20,5
2015/10/21,14
2015/10/22,19
2015/10/23,7
2015/10/24,9
2015/10/25,18
2015/10/26,15
2015/10/27,39
2015/10/28,19
2015/10/29,59
2015/10/30,35
2015/10/31,4
2015/11/01,8
2015/11/02,10
2015/11/03,6
2015/11/04,13
2015/11/05,41
2015/11/06,27
2015/11/07,50
2015/11/08,40
2015/11/09,19
2015/11/10,13
2015/11/11,10
2015/11/12,10
2015/11/13,26
2015/11/14,20
2015/11/15,1
2015/11/16,17
2015/11/17,23
2015/11/18,4
2015/11/20,10
2015/11/21,8
2015/11/22,11
2015/11/23,4
2015/11/24,6
2015/11/25,10
2015/11/26,10
2015/11/27,12
2015/11/28,17
2015/11/29,10
2015/11/30,10
2015/12/01,11
2015/12/02,11
2015/12/03,36
2015/12/04,13
2015/12/05,3
2015/12/06,4
2015/12/07,11
2015/12/08,3
2015/12/09,10
2015/12/10,0
2015/12/11,11
2015/12/12,14
2015/12/13,17
2015/12/14,9
2015/12/15,58
2015/12/16,66
2015/12/17,19
2015/12/18,6
2015/12/19,4
2015/12/20,37
2015/12/21,28
2015/12/25,31
2015/12/26,30
2015/12/27,19
2015/12/28,30
2015/12/29,18
2015/12/30,4
2015/12/31,31
2016/01/01,17
2016/01/02,49
2016/01/03,33
2016/01/04,27
2016/01/05,44
2016/01/06,11
2016/01/07,30
2016/01/08,34
2016/01/09,31
2016/01/10,42
2016/01/11,9
2016/01/12,10
2016/01/14,48
2016/01/15,52
2016/01/16,10
2016/01/17,8
2016/01/18,36
2016/01/19,60
2016/01/20,9
2016/01/21,4
2016/01/22,1
2016/01/23,10
2016/01/24,16
2016/01/25,7
2016/01/26,10
2016/01/27,26
2016/01/28,43
2016/01/29,3
2016/01/30,12
2016/01/31,14
2016/02/01,1
2016/02/02,5
2016/02/03,16
2016/02/04,14
2016/02/05,7
2016/02/06,69
2016/02/07,43
2016/02/08,26
2016/02/09,14
2016/02/10,19
2016/02/11,20
2016/02/12,37
2016/02/13,17
2016/02/14,7
2016/02/15,29
2016/02/16,22
2016/02/17,8
2016/02/18,12
2016/02/19,21
2016/02/20,45
2016/02/21,26
2016/02/22,36
2016/02/23,18
2016/02/24,28
2016/02/25,10
2016/02/26,9
2016/02/27,7
2016/02/28,11
2016/02/29,39
2016/03/01,16
2016/03/02,27
2016/03/03,52
2016/03/04,45
2016/03/05,51
2016/03/06,31
2016/03/07,26
2016/03/08,33
2016/03/09,4
2016/03/10,6
2016/03/11,17
2016/03/12,6
2016/03/13,19
2016/03/14,24
2016/03/15,25
2016/03/16,17
2016/03/17,12
2016/03/18,44
2016/03/19,19
2016/03/20,23
2016/03/21,25
2016/03/22,34
2016/03/23,17
2016/03/24,16
2016/03/25,12
2016/03/26,33
2016/03/27,33
2016/03/28,27
2016/03/29,44
2016/03/30,48
2016/03/31,66
2016/04/01,29
2016/04/02,61
2016/04/03,37
2016/04/04,25
2016/04/05,46
2016/04/06,38
2016/04/07,37
2016/04/08,42
2016/04/09,32
2016/04/10,38
2016/04/11,15
2016/04/12,24
2016/04/13,4
2016/04/14,40
2016/04/15,18
2016/04/16,44
2016/04/17,15
2016/04/18,8
2016/04/19,12
2016/04/20,44
2016/04/21,24
2016/04/22,33
2016/04/23,33
2016/04/24,17
2016/04/25,40
2016/04/26,47
2016/04/27,20
2016/04/28,42
2016/04/29,54
2016/04/30,63
2016/05/01,49
2016/05/02,25
2016/05/03,19
2016/05/04,37
2016/05/05,20
2016/05/06,19
2016/05/07,30
2016/05/08,32
2016/05/09,23
2016/05/10,18
2016/05/11,28
2016/05/12,38
2016/05/13,14
2016/05/14,4
2016/05/15,30
2016/05/16,2
2016/05/17,20
2016/05/18,11
2016/05/19,18
2016/05/20,29
2016/05/21,48
2016/05/22,28
2016/05/23,5
2016/05/24,29
2016/05/26,47
2016/05/27,20
2016/05/28,12
2016/05/29,18
2016/05/30,18
2016/05/31,7
2016/06/01,12
2016/06/02,3
2016/06/03,17
2016/06/04,19
2016/06/05,15
2016/06/06,13
2016/06/07,23
2016/06/08,25
2016/06/09,33
