日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/04,板橋,WIND_SPEED,2.9,1.4,2.5,3,2.9,1.5,2.5,1.5,1.8,2,2.4,2.2,2.9,2.5,2.9,2.2,2.5,2.5,1.8,1.7,3.2,2.6,2.3,2.3
2012/01/04,板橋,WS_HR,2.4,1.6,1.4,2.2,1.4,1,1.7,0.8,1,1.2,2,2.2,2.6,2.2,2.3,2.2,2.3,2.5,1.9,2.4,2.4,2.5,2.4,2.2
2012/01/05,板橋,AMB_TEMP,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,14,14,14,15,15,15
2012/01/05,板橋,CH4,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2#,.1#,1.9#,1.9,2#,2#,2,2,2,2,2,1.9,1.9,1.9
2012/01/05,板橋,CO,0.4,0.34,0.35,0.3,0.28,0.3,0.37,0.7,1.03,0.81,0.71,0.6,0.6,0.51,0.63,.66#,0.75,0.95,1,0.91,0.82,0.75,0.64,0.55
2012/01/05,板橋,NMHC,0.11,0.1,0.1,0.09,0.08,0.09,0.13,0.25,0.46,0.41,.43#,,.31#,0.25,.28#,.28#,0.32,0.49,0.36,0.31,0.28,0.27,0.23,0.18
2012/01/05,板橋,NO,2.1,1.7,1.3,1,0.7,0.9,2.8,9.8,22,22,26,26#,-.4#,-1.2#,10,13#,11,21,14,9.7,11,9.3,6.1,4.9
2012/01/05,板橋,NO2,13,11,11,8.2,7.4,8.4,17,29,35,37,37,37#,,31#,38,40#,39,38,37,36,33,31,27,26
2012/01/05,板橋,NOx,15,13,12,9.2,8,9.3,20,39,57,58,62,62#,-.4#,30#,48,53#,50,59,52,46,44,41,33,31
2012/01/05,板橋,O3,24,26,24,27,31,28,20,10,5.3,5,.1#,.1#,.1#,.1#,91,5.9,8.3,4.4,5,6.6,6.1,8.2,12,.1#
2012/01/05,板橋,PH_RAIN,NR,NR,NR,NR,3.3,3.4,3.6,3.7,4,4.1,4.3,4.6,4.6,4.7,4.5,NR,4.5,NR,NR,NR,NR,NR,,NR
2012/01/05,板橋,PM10,45,43,37,29,22,20,21,21,24,26,26,24,26,20,16,22,22,20,16,16,13,16,21,18
2012/01/05,板橋,PM2.5,27,27,28,22,20,21,22,19,18,20,19,22,24,17,12,19,17,13,13,11,15,15,14,13
2012/01/05,板橋,RAIN_COND,NR,NR,NR,NR,572,329,141,100,49,42,21,11,14,10,14,NR,15,NR,NR,NR,NR,NR,,NR
2012/01/05,板橋,RAINFALL,NR,NR,NR,0.4,0.6,1.2,0.2,1.4,0.8,1,3.8,1.6,1.2,1,0.2,0.2,0.2,NR,NR,NR,NR,NR,NR,0.4
2012/01/05,板橋,RH,72,75,77,79,82,83,83,82,84,85,85,85,85,85,84,83,82,82,81,79,78,76,76,80
2012/01/05,板橋,SO2,4,3.1,2.8,2.6,2.1,1.5,2,1.8,2.7,4.9,3,4#,1.5#,2.5,2.4,3.6#,1.8,1.7,1.6,1.2,1.7,2,2,2.3
2012/01/05,板橋,THC,2.1,2,2,2,2,2,2.1,2.2,2.4,2.4,2.4#,0#,2.2#,2.2,2.2#,2.3#,2.3,2.5,2.4,2.3,2.3,2.2,2.1,2.1
2012/01/05,板橋,UVB,0,0,0,0,0,0,0,0,0.2,0.3,0.8,1.3,1.1,1,0.7,0.2,0,0,0,0,0,0,0,0
2012/01/05,板橋,WD_HR,91,85,88,89,91,85,91,87,87,91,91,96,88,78,79#,81,71,79,70,68,63,69,64,66
2012/01/05,板橋,WIND_DIREC,93,97,90,84,84,88,88,88,87,90,88,95,86,74,0#,85,85,81,74,57,56,60,70,69
2012/01/05,板橋,WIND_SPEED,3.4,2.4,2.6,2.3,2.8,2.3,2.2,2.1,2,2.6,1.5,2.2,3.1,2.3,2#,1.8,1.9,2,2.1,2,2.6,2.5,2.7,2.4
2012/01/05,板橋,WS_HR,2.5,2.3,2.3,2.2,2.3,2.1,1.8,1.7,1.7,2,1.8,1.7,2.1,2.1,2.2#,1.7,1.8,1.6,1.9,1.8,2,2.3,2.3,2.1
2012/01/06,板橋,AMB_TEMP,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,16,16,16,16,16,16,16,16,16
2012/01/06,板橋,CH4,1.9,1.9,1.9,2,2,2.2,2.2,2.2,2.1,2.1,2.1,2.2,2.3,2.2,1.9,1.9#,1.9,2,2,2,1.9,1.9,1.8,1.8
2012/01/06,板橋,CO,0.43,0.34,0.33,0.3,0.39,0.52,0.66,1.13,1.52,1.74,1.68,1.75,2,1.78,.85#,.41#,0.63,0.81,1.16,1.26,0.78,0.66,0.53,0.37
2012/01/06,板橋,NMHC,0.13,0.11,0.11,0.13,0.21,0.38,0.44,0.64,0.76,0.99,0.96,1.13,1.27,1.33,0.56,.32#,0.46,0.52,0.7,0.74,0.4,0.32,0.21,0.14
2012/01/06,板橋,NO,3.4,3,2.8,1.9,2.6,3,15,41,67,98,66,57,73,73#,2.2#,4.8#,11,12,20,28,15,8.5,4.7,1.9
2012/01/06,板橋,NO2,20,15,14,15,18,22,28,28,28,35,43,50,64,65#,,22#,34,36,42,41,36,31,25,18
2012/01/06,板橋,NOx,23,18,17,16,21,25,44,69,95,133,109,107,137,138#,1.5#,27#,44,48,62,69,51,39,30,20
2012/01/06,板橋,O3,17,20,20,20,14,8.1,2.8,2,2.3,2.4,2.9,3.9,3.8,4.4,12,18#,6.7,3.6,1.8,2.7,7.1,11,18,21
2012/01/06,板橋,PH_RAIN,4.4,4.2,4.5,4.5,4.5,4.7,4.7,4.7,4.8,4.9,4.8,4.4,4.5,4.6,4.4,NR,6.7,5.9,5.5,6.1,6.2,6.2,6.2,6.1
2012/01/06,板橋,PM10,16,15,13,15,17,20,20,21,29,39,43,44,49,54,,15,13,13,21,22,13,6,5,10
2012/01/06,板橋,PM2.5,8,8,8,9,9,13,20,19,24,29,35,39,39,40,,9,10,12,14,16,17,11,8,5
