date,data
2002/05/27,"[0.0933523922764228, 0.24965, 0.324421, 0, 0, 0.503864, 0, 0, 0, 0, 0, 0, 0, 0, 0.804492, 0, 0, 0.952897, 0, 0, 1.127168, 1.260984, 2.628148, 0, 0, 0, 0, 0, 0, 0, 1.591918, 1.222159, 1.509476, 1.648867, 1.100581, 1.122678, 0.0, 31.0]"
2002/05/28,"[0.0933523922764228, 0.340595, 0.438282, 0, 0, 0.66872, 0, 0, 0, 0, 0, 0, 0, 0, 1.033968, 0, 0, 1.203543, 0, 0, 1.3937, 1.528485, 3.77118, 0, 0, 0, 0, 0, 0, 0, 1.510295, 1.087356, 1.408325, 1.577325, 0.938161, 1.122678, 0.0, 11.0]"
2002/05/29,"[0.0933523922764228, 0.311344, 0.405155, 0, 0, 0.615856, 0, 0, 0, 0, 0, 0, 0, 0, 0.936227, 0, 0, 1.074609, 0, 0, 1.207937, 1.236799, 4.264628, 0, 0, 0, 0, 0, 0, 0, 1.471014, 0.995801, 1.352438, 1.548479, 0.866024, 1.122678, 0.0, 26.0]"
2002/05/30,"[0.0933523922764228, 0.439519, 0.563603, 0, 0, 0.803604, 0, 0, 0, 0, 0, 0, 0, 0, 1.089048, 0, 0, 1.198026, 0, 0, 1.284547, 1.333384, 4.35281, 0, 0, 0, 0, 0, 0, 0, 1.210799, 0.721408, 1.071549, 1.278379, 0.619255, 1.122678, 0.0, 10.0]"
2002/06/01,"[0.0933523922764228, 0.17441, 0.210523, 0, 0, 0.295318, 0, 0, 0, 0, 0, 0, 0, 0, 0.440746, 0, 0, 0.509184, 0, 0, 0.591596, 0.673985, 3.172811, 0, 0, 0, 0, 0, 0, 0, 1.353892, 1.072804, 1.317371, 1.394167, 0.965915, 1.122678, 0.0, 10.0]"
2002/06/02,"[0.0933523922764228, 0.138171, 0.16306, 0, 0, 0.227388, 0, 0, 0, 0, 0, 0, 0, 0, 0.338139, 0, 0, 0.386933, 0, 0, 0.448213, 0.492653, 3.901972, 0, 0, 0, 0, 0, 0, 0, 1.29929, 1.021955, 1.270294, 1.342112, 0.979831, 1.122678, 0.0, 11.0]"
2002/06/03,"[0.0933523922764228, 0.082015, 0.096829, 0, 0, 0.133838, 0, 0, 0, 0, 0, 0, 0, 0, 0.205376, 0, 0, 0.239065, 0, 0, 0.289608, 0.337231, 4.6046, 0, 0, 0, 0, 0, 0, 0, 1.347695, 1.241652, 1.372902, 1.369242, 1.328392, 1.122678, 0.0, 1.0]"
2002/10/01,"[0.0933523922764228, 0.187905298245614, 0.127549, 0, 0, 0.207819, 0, 0, 0, 0, 0, 0, 0, 0, 0.359238, 0, 0, 0.411112, 0, 0, 0.6333750661686236, 0.991894, 2.443903, 0, 0, 0, 0, 0, 0, 0, 1.891985, 2.019319, 1.873033, 1.868487, 2.661717, 1.122678, 0.0, 0.0]"
2002/10/18,"[0.0933523922764228, 0.214849, 0.279523, 0, 0, 0.421343, 0, 0, 0, 0, 0, 0, 0, 0, 0.658362, 0, 0, 0.768085, 0, 0, 0.885724, 0.952679, 4.455471, 0, 0, 0, 0, 0, 0, 0, 1.496997, 1.066235, 1.422839, 1.556025, 0.840464, 1.122678, 0.0, 1.0]"
2002/10/20,"[0.0933523922764228, 0.337047, 0.429955, 0, 0, 0.605612, 0, 0, 0, 0, 0, 0, 0, 0, 0.825746, 0, 0, 0.891986, 0, 0, 0.946983, 0.773043, 3.877168, 0, 0, 0, 0, 0, 0, 0, 1.130087, 0.52546, 0.975699, 1.230791, 0.389238, 1.122678, 0.0, 3.0]"
